date	seed_query	candidate	locale	gl	source_batch	related_or_paa	serp_notes	ig_opportunity	absorb_slug	feasibility	verdict	notes	competition_tier	gap_notes
2026-09-02	sitemap checker	sitemap checker	en	us	keywords/web-check/2026-09-02-web-check-bing-serp	related empty (CN intl)	Bing: SEOptimer etc tool=10 head; generator page cannot check	fetch+validate live sitemap.xml; scene/G H1		yes	build	suggested slug=sitemap-checker; forbid absorb into sitemap-xml-generator; week_attack=no until scene H1	head	implement_owed|generate≠check|Bing confirmed head
2026-09-02	pagespeed insights	lighthouse score	en	us	keywords/web-check/2026-09-02-web-check-tools-inventory	related: lighthouse test url; page speed test	Google PSI owns lab test	CWV page grades pasted LCP/INP/CLS only; FAQ boundary	core-web-vitals-checker	yes	drop	do not retitle CWV page to Lighthouse; web-check Quality Metrics not feasible on Workers	head	Chrome required
2026-09-02	ssl checker	ssl checker	en	us	keywords/web-check/2026-09-02-web-check-bing-serp	related empty (CN intl)	Bing: SSL Shopper/Labs head; capability missing	implement cert expiry/chain within Workers limits; scene/G H1		yes	build	suggested slug TBD after scene H1; week_attack=no	head	implement_owed|Bing confirmed head
2026-09-02	ssl checker	ssl certificate checker	en	us	keywords/web-check/2026-09-02-web-check-bing-serp	related empty (CN intl)	Bing titles already SSL Certificate Checker; G not triggered	same job as ssl checker one URL		yes	build	merge into ssl implement page; no second URL	head	implement_owed|no title_gap
2026-09-02	dmarc checker	dmarc checker	en	us	keywords/web-check/2026-09-02-web-check-bing-serp	related empty (CN intl)	Bing: MxToolbox/EasyDMARC head; TXT raw ≠ policy explainer	parse+explain DMARC/SPF/DKIM; scene/G H1; no email-pack		yes	build	suggested one email-auth checker page; forbid absorb as domain-lookup TXT only	head	implement_owed|Bing confirmed head
2026-09-02	dmarc checker	spf record lookup	en	us	keywords/web-check/2026-09-02-web-check-bing-serp	related empty (CN intl)	Bing SPF tools head; same email-auth job	merge into DMARC/SPF implement page		yes	build	no second SPF URL	head	implement_owed|same job as dmarc
2026-09-02	server location	ip geolocation lookup	en	us	keywords/web-check/2026-09-02-web-check-tools-inventory	related: where is this server hosted	IPinfo/geo tools head	visitor IP page is wrong slug		yes	defer	web-check Server Location; no domain-geo page	head	different from ip-address
2026-09-02	security.txt	security.txt checker	en	us	keywords/web-check/2026-09-02-web-check-bing-serp	related empty (CN intl)	Bing dedicated RFC checkers head; capability missing	fetch /.well-known/security.txt + explain contact/policy		yes	build	suggested slug scene-task H1; forbid security-txt-pack; week_attack=no	head	implement_owed|Bing confirmed head
2026-09-02	website carbon calculator	website carbon calculator	en	us	keywords/web-check/2026-09-02-web-check-tools-inventory	related: website carbon footprint	websitecarbon.com	none		no	drop	web-check Carbon card	head	not core job
2026-09-02	builtwith	what cms is this website using	en	us	keywords/web-check/2026-09-02-web-check-tools-inventory	related: wappalyzer; tech stack checker	BuiltWith/Wappalyzer head	none		no	drop	web-check Tech Stack+Site Features	head	fingerprint pack
2026-09-02	port scanner	online port scanner	en	us	keywords/web-check/2026-09-02-web-check-tools-inventory	related: check open ports	scanner sites	none		no	drop	abuse; Cloudflare ToS	head	web-check Open Ports
2026-09-02	traceroute	traceroute online	en	us	keywords/web-check/2026-09-02-web-check-tools-inventory	related: visual traceroute	network tools	Workers no raw sockets		no	drop	not feasible	head	web-check Traceroute
2026-09-02	is this website safe	phishing checker	en	us	keywords/web-check/2026-09-02-web-check-tools-inventory	related: malware url check	browser/vendor safety pages	none		no	drop	YMYL reputation	head	web-check Malware+Block Detection
2026-09-02	wayback machine	wayback machine	en	us	keywords/web-check/2026-09-02-web-check-tools-inventory	related: website archive history	archive.org	none		no	drop	official archive owns intent	head	web-check Archive History
2026-09-02	robots.txt checker	check if a url is blocked by robots.txt	en	us	keywords/web-check/2026-09-02-web-check-related-longtail-selection	related empty×25; title proxy: tester/validator/url blocked	Bing head tester wall; scene H1 from Studio title pattern	fetch live robots + URL allow test; AI crawler FAQ chip	check-robots-txt-url-blocked	yes	build	H1=Check if a URL is blocked by robots.txt; forbid generator absorb; week_attack=no	head	related_empty|title_proxy|implement_owed
2026-09-02	sitemap checker	find and validate xml sitemap	en	us	keywords/web-check/2026-09-02-web-check-related-longtail-selection	related empty; title proxy: finder+validator	XML checker/validator/finder walls	discover sitemap URL + validate	find-and-validate-xml-sitemap	yes	build	H1=Find and validate XML sitemap; finder is same-page mode; week_attack=no	head	related_empty|title_proxy|implement_owed
2026-09-02	security.txt	validate security.txt	en	us	keywords/web-check/2026-09-02-web-check-related-longtail-selection	related empty; title proxy: validator/RFC9116	validator wall; rfc query=docs drop as H1	fetch well-known + explain contact/policy	validate-security-txt	yes	build	H1=Validate security.txt; week_attack=no	head	related_empty|title_proxy|implement_owed
2026-09-02	ssl checker	check ssl certificate expiration	en	us	keywords/web-check/2026-09-02-web-check-related-longtail-selection	related empty; title proxy: expiry/chain	ssl certificate checker exact titles; G no on head	expiry primary; chain chip; Workers limits in Rules	check-ssl-certificate-expiration	yes	build	H1=Check SSL certificate expiration; no second URL for chain	head	related_empty|title_proxy|implement_owed
2026-09-02	dmarc checker	spf dkim dmarc checker	en	us	keywords/web-check/2026-09-02-web-check-related-longtail-selection	related empty; title proxy: triple checker	triple tool wall; email authentication checker polluted by address verifiers	parse+explain SPF+DKIM+DMARC one page	spf-dkim-dmarc-checker	yes	build	H1=SPF DKIM DMARC checker; forbid email-verifier H1; week_attack=no	head	related_empty|title_proxy|implement_owed
2026-09-03	bulk compress images	bulk compress product photos	en	us	2026-09-03-bulk-vs-batch-tool-split	related: compress images in bulk; bulk image compressor	No Planner/SERP this turn; iLoveIMG-class tools occupy generic bulk compressor	queue+target-KB miss table+ZIP rename+serial RAM cap vs single-file slider	image-compress	yes	build	slug=bulk-compress-product-photos H1=Bulk compress product photos; word=bulk; do not add multiple on image-compress; week_attack=no; no work-tasks	head	implement_owed|queue job unimplemented; scene H1 not category compressor
2026-09-03	compress png	bulk compress PNG images	en	us	2026-09-03-bulk-vs-batch-tool-split	related: compress png in bulk; tinypng	TinyPNG-class keep-PNG intent; not photo-to-JPEG	keep alpha; palette artifacts; point to product-photos if they need smaller JPG	image-compress	yes	build	slug=bulk-compress-png-images H1=Bulk compress PNG images; not a chip on product-photos	head	implement_owed|PNG-stay-PNG job distinct
2026-09-03	compress gif	bulk compress GIF images	en	us	2026-09-03-bulk-vs-batch-tool-split	related: compress animated gif	Must keep animation; no single-file gif-compress sibling	palette+fps; still-frame is wrong job	images-to-gif	yes	defer	slug=bulk-compress-gif-images later	head	animation rules; after P0 compress
2026-09-03	bulk convert images to jpg	bulk convert images to JPG	en	us	2026-09-03-bulk-vs-batch-tool-split	related: png to jpg; heic to jpg; jpeg	Users search destination suffix not a format picker; JPG most familiar	matte-for-alpha+quality+.jpg ext; png/heic pairs absorb here	image-format-converter	yes	build	slug=bulk-convert-images-to-jpg H1=Bulk convert images to JPG; first convert URL; no format dropdown; jpeg synonym FAQ only	head	implement_owed|JPEG flatten rules distinct
2026-09-03	bulk convert images to png	bulk convert images to PNG	en	us	2026-09-03-bulk-vs-batch-tool-split	related: jpg to png; keep transparency	Transparency/logo intent; not a chip on JPG or WebP page	keep alpha; warn size-up vs JPEG; GIF first-frame	image-format-converter	yes	build	slug=bulk-convert-images-to-png; no output-format switcher	head	implement_owed|PNG lossless+alpha distinct
2026-09-03	bulk convert images to webp	bulk convert images to webp	en	us	2026-09-03-bulk-vs-batch-tool-split	related: png to webp; bulk image converter	WebP is a later/informed query; must not be the only convert slug	lossy+alpha; clients that reject WebP; vs PNG size example	image-format-converter	yes	build	slug=bulk-convert-images-to-webp; no JPEG/PNG chips changing output	head	implement_owed|WebP rules distinct; not the default convert page
2026-09-03	png to jpg	png to jpg	en	us	2026-09-03-bulk-vs-batch-tool-split	related: convert png to jpeg	Same output JPEG job	matte+quality on jpg page	bulk-convert-images-to-jpg	yes	absorb	do not ship png-to-jpg bulk URL	head	same job as to-jpg
2026-09-03	heic to jpg	heic to jpg	en	us	2026-09-03-bulk-vs-batch-tool-split	related: convert iphone photos to jpg	Input HEIC output JPEG	decode HEIC in browser if available; fail row if not	bulk-convert-images-to-jpg	yes	absorb	chip/FAQ on jpg bulk page	head	same output job
2026-09-03	bulk convert to avif	bulk convert images to AVIF	en	us	2026-09-03-bulk-vs-batch-tool-split	related: avif converter	Unfamiliar+slow encode	timeout/cancel	image-format-converter	yes	defer	slug=bulk-convert-images-to-avif later	head	own slug when shipped; not a chip on webp
2026-09-03	bulk image converter	bulk image converter	en	us	2026-09-03-bulk-vs-batch-tool-split	related: convert images online	Format-picker hub; users do not know which format to pick	none		no	drop	no slug without target format in H1	head	doorway hub
2026-09-03	batch watermark photos	batch watermark product photos	en	us	2026-09-03-bulk-vs-batch-tool-split	related: bulk watermark images	Guides title batch watermark; bulk as FAQ synonym	short-side % scale+apply-all+too-small fail vs drag-one	add-watermark	yes	build	slug=batch-watermark-product-photos; word=batch; do not also ship bulk-watermark URL	head	implement_owed|template-queue job unimplemented
2026-09-03	batch compress pdf	batch compress PDFs for email	en	us	2026-09-03-bulk-vs-batch-tool-split	related: bulk compress pdf; batch pdf compressor	Online batch-PDF titles common; no SERP this turn	N PDFs ZIP not merge; scan vs text delta vs single compress-pdf	compress-pdf	yes	build	slug=batch-compress-pdfs-for-email; word=batch; related merge-pdf for boundary	head	implement_owed|multi-PDF zip job unimplemented
2026-09-03	batch checksum	batch checksum release files	en	us	2026-09-03-bulk-vs-batch-tool-split	related: hash multiple files; bulk file hash	Dev pages say batch checksum	manifest compare+chunk progress+CSV/SUMS vs one file or pasted text	file-hash	yes	build	slug=batch-checksum-release-files; word=batch	head	implement_owed|N-file table unimplemented
2026-09-03	batch watermark pdf	batch watermark PDF drafts	en	us	2026-09-03-bulk-vs-batch-tool-split	related: watermark multiple pdfs	Office/process wording	relative stamp on mixed page sizes vs one PDF	pdf-watermark	yes	build	slug=batch-watermark-pdf-drafts P1; word=batch; week_attack=no	head	implement_owed|P1
2026-09-03	batch protect pdf	batch password-protect PDFs	en	us	2026-09-03-bulk-vs-batch-tool-split	related: password protect multiple pdfs	Same	shared password queue; skip already-encrypted	protect-pdf	yes	build	slug=batch-password-protect-pdfs P1; never echo password	head	implement_owed|P1
2026-09-03	bulk svg optimizer	bulk optimize SVG icon set	en	us	2026-09-03-bulk-vs-batch-tool-split	related: optimize svgs in bulk	Icon-set quantity framing	skip broken SVG; no cross-file ID rewrite	svg-optimizer	yes	build	slug=bulk-optimize-svg-icon-set P1; word=bulk	head	implement_owed|P1
2026-09-03	bulk resize images	bulk resize Amazon main images	en	us	2026-09-03-bulk-vs-batch-tool-split	related: amazon main image size; bulk instagram images	Scene default Amazon; other specs chips only	auto cover-fill N SKUs; no per-image crop UI	amazon-main-image-size	yes	build	slug=bulk-resize-amazon-main-images P1; forbid six bulk-platform URLs	head	implement_owed|one job many specs
2026-09-03	remove exif in bulk	bulk strip photo EXIF	en	us	2026-09-03-bulk-vs-batch-tool-split	related: bulk exif remover	Consumer bulk	report+optional clean ZIP vs single EXIF browser	image-exif	yes	build	slug=bulk-strip-photo-exif P1; word=bulk	head	implement_owed|P1
2026-09-03	batch unlock pdf	batch unlock PDFs you own	en	us	2026-09-03-bulk-vs-batch-tool-split	related: unlock multiple pdfs	Must be owner+known password	skip bad password; no cracking	unlock-pdf	yes	defer	slug=batch-unlock-owned-pdfs; YMYL; P1 after protect	head	implement_owed|ownership disclaimer cost
2026-09-03	bulk image optimizer	bulk optimize hero images	en	us	2026-09-03-bulk-vs-batch-tool-split	related: bulk avif converter	WASM slow	serial+cancel; pack completed files	image-optimizer	yes	defer	slug=bulk-optimize-hero-images last among image batch	head	AVIF time; implement later
2026-09-03	batch rotate pdf	batch rotate scanned PDFs	en	us	2026-09-03-bulk-vs-batch-tool-split	related: rotate multiple pdfs	Office batch	same angle many files	rotate-pdf	yes	defer	slug=batch-rotate-scanned-pdfs P1	head	implement later
2026-09-03	bulk grayscale images	bulk grayscale scan photos	en	us	2026-09-03-bulk-vs-batch-tool-split	related: batch flip images; bulk add border	Thin vs compress; same pixel-transform job	one URL; flip/border chips only	image-grayscale	yes	defer	slug=bulk-grayscale-scan-photos; forbid bulk-flip and bulk-border URLs	mid_covered	same transform job
2026-09-03	batch crop pdf	batch crop PDF margins	en	us	2026-09-03-bulk-vs-batch-tool-split	related: crop multiple pdfs	Flyer same crop box	shared box vs rotate	crop-pdf	yes	defer	slug=batch-crop-pdf-margins capacity later	head	distinct from rotate; later
2026-09-03	images to pdf	bulk images to pdf	en	us	2026-09-03-bulk-vs-batch-tool-split	related: convert images to pdf	Already multiple	none	images-to-pdf	yes	drop	already N-to-1; no new bulk slug	head	capability exists
2026-09-03	crop image	bulk crop images	en	us	2026-09-03-bulk-vs-batch-tool-split	related: batch crop photos	Interactive crop is the product	none	image-crop	yes	drop	keep single-file crop; auto-cover lives on bulk-resize-amazon-main-images	head	different control stays on sibling

2026-09-03	pdf	combine pdf files into one	en	us	2026-09-03-pdf-keyword-planner	merge pdf; combine pdf; pdf merger	utility merge pages dense	H1=Combine PDF files into one; PDF-only; mixed files → N1	merge-pdf	yes	absorb	A1; forbid H1=Merge PDF; no second merge URL	head	harvest|seed=merge pdf
2026-09-03	pdf	reduce pdf	en	us	2026-09-03-pdf-keyword-planner	compress my pdf	compress tools dense	H1=Reduce PDF file size; link email batch page	compress-pdf	yes	absorb	A3	head	harvest|seed=reduce pdf
2026-09-03	pdf	convert pdf to jpg	en	us	2026-09-03-pdf-keyword-planner	pdf jpg; convert pdf jpeg	pdf2jpg/ilovepdf head	jpeg absorb same output; not a second slug	pdf-to-jpg	yes	absorb	A5	head	harvest|seed=convert pdf jpg
2026-09-03	pdf	split my pdf	en	us	2026-09-03-pdf-keyword-planner	Planner Pdf	utility split pages	by page/range	split-pdf	yes	absorb	A2	mid_covered	split scene
2026-09-03	pdf	unlock my pdf	en	us	2026-09-03-pdf-keyword-planner	Planner Pdf	utility unlock pages	owner+known password	unlock-pdf	yes	absorb	A7	mid_covered	sensitive unlock
2026-09-03	pdf	turn jpg into pdf	en	us	2026-09-03-pdf-keyword-planner	images only	image to pdf utilities	photos only; mixed files → N1	images-to-pdf	yes	absorb	A6	mid_covered	images to pdf
2026-09-03	pdf	password-protect a pdf	en	us	2026-09-03-pdf-keyword-planner	pdf protection; create secure pdf	utility protect pages	not unlock	protect-pdf	yes	absorb	A8	mid_covered	protect
2026-09-03	pdf	combine files into one pdf	en	us	2026-09-03-pdf-keyword-planner	create pdf multiple files	mixed-file converters	queue image+doc+pdf; ≠ merge-pdf ≠ images-to-pdf	combine-files-into-one-pdf	yes	absorb	implemented 2026-09-04; reviewed 2026-09-05; absorb into combine-files-into-one-pdf	head	implemented
2026-09-03	pdf	convert word document to pdf	en	us	2026-09-03-pdf-keyword-planner	word to pdf; save document as pdf; doc into pdf	word-to-pdf utilities	docx upload; H1 not word to pdf	convert-word-document-to-pdf	yes	absorb	implemented 2026-09-04; reviewed 2026-09-05; absorb into convert-word-document-to-pdf	head	implemented
2026-09-03	pdf	turn pdf into word document	en	us	2026-09-03-pdf-keyword-planner	change pdf into word; pdf into word document	pdf-to-word utilities	layout/OCR; ≠ edit-in-pdf	turn-pdf-into-word-document	yes	absorb	implemented 2026-09-04; reviewed 2026-09-05; absorb into turn-pdf-into-word-document	head	implemented
2026-09-03	pdf	convert html to pdf	en	us	2026-09-03-pdf-keyword-planner	convert html pdf	web2pdf tools	html/url paste; ≠ word	convert-html-to-pdf	yes	absorb	implemented 2026-09-04; reviewed 2026-09-05; absorb into convert-html-to-pdf	mid_covered	implemented
2026-09-03	pdf	edit pdf text online	en	us	2026-09-03-pdf-keyword-planner	edit pdf text; change text pdf	editor suite head	text-layer edit; ≠ add overlay ≠ fill form	edit-pdf-text-online	yes	absorb	implemented 2026-09-04; reviewed 2026-09-05; absorb into edit-pdf-text-online	head	implemented
2026-09-03	pdf	add text to a pdf file	en	us	2026-09-03-pdf-keyword-planner	add text pdf file	thin	new text box; ≠ edit existing; ≠ watermark	add-text-to-pdf-file	yes	absorb	implemented 2026-09-04; reviewed 2026-09-05; absorb into add-text-to-pdf-file	mid_covered	implemented
2026-09-03	pdf	edit pdf form fields	en	us	2026-09-03-pdf-keyword-planner	edit pdf form	form author tools	edit field schema; ≠ fill values	edit-pdf-form-fields	yes	absorb	implemented 2026-09-04; reviewed 2026-09-05; absorb into edit-pdf-form-fields	head	implemented
2026-09-03	pdf	fill out a pdf form	en	us	2026-09-03-pdf-keyword-planner	fill pdf form; fill out pdf; pdf filler	pdffiller/ilovepdf	fill values; no field → fail+link N9	fill-out-pdf-form	yes	absorb	implemented 2026-09-04; reviewed 2026-09-05; absorb into fill-out-pdf-form	head	implemented
2026-09-03	pdf	make a pdf fillable	en	us	2026-09-03-pdf-keyword-planner	make pdf fillable; create fillable pdf	form-prep tools	add fields to static PDF; ≠ blank form N10	make-pdf-fillable	yes	absorb	implemented 2026-09-04; reviewed 2026-09-05; absorb into make-pdf-fillable	head	implemented
2026-09-03	pdf	create a pdf form	en	us	2026-09-03-pdf-keyword-planner	create pdf form; pdf form creator	form builders	blank canvas; ≠ make existing fillable	create-pdf-form	yes	absorb	implemented 2026-09-04; reviewed 2026-09-05; absorb into create-pdf-form	head	implemented
2026-09-03	pdf	sign a pdf document	en	us	2026-09-03-pdf-keyword-planner	sign documents pdf	e-sign utilities	drawn/typed appearance; ≠ certificate N12	sign-pdf-document	yes	absorb	implemented 2026-09-04; reviewed 2026-09-05; absorb into sign-pdf-document	head	implemented
2026-09-03	pdf	add a digital signature to a pdf	en	us	2026-09-03-pdf-keyword-planner	digital signature pdf	cert sign tools	PKI; legal ≠ drawn sign		yes	defer	visible SHA-256 integrity mark exists; certificate PKI/PAdES signing remains unimplemented; do not absorb	head	capability_boundary
2026-09-03	pdf	open a pdf in the browser	en	us	2026-09-03-pdf-keyword-planner	online pdf viewer; pdf opener	viewer tabs	preview only; desktop Reader = drop	open-pdf-in-browser	yes	absorb	implemented 2026-09-04; reviewed 2026-09-05; absorb into open-pdf-in-browser	head	implemented
2026-09-03	pdf	write a pdf document online	en	us	2026-09-03-pdf-keyword-planner	write pdf document; create pdf document online	thin editors	compose in page; ≠ upload docx N2	write-pdf-document-online	yes	absorb	implemented 2026-09-04; reviewed 2026-09-05; absorb into write-pdf-document-online	head	implemented
2026-09-03	pdf	turn pdf into an editable document	en	us	2026-09-03-pdf-keyword-planner	turn pdf into editable document; create editable pdf	OCR/edit suites	rebuild text in PDF; scan fail → N3	turn-pdf-into-editable-document	yes	absorb	implemented 2026-09-04; reviewed 2026-09-05; absorb into turn-pdf-into-editable-document	head	implemented
2026-09-03	pdf	convert pdf to pdf/a	en	us	2026-09-03-pdf-keyword-planner	pdf to pdf a online	archival converters	generate PDF/A; ≠ checker N17	convert-pdf-to-pdf-a	yes	absorb	implemented 2026-09-04; reviewed 2026-09-05; absorb into convert-pdf-to-pdf-a	mid_covered	implemented
2026-09-03	pdf	check pdf/a compliance	en	us	2026-09-03-pdf-keyword-planner	pdf check; verapdf	veraPDF-class checkers	validate ≠ convert		yes	defer	five-indicator screening exists; profile-aware PDF/A compliance validation remains unimplemented; do not absorb	mid_covered	capability_boundary
2026-09-03	pdf	compare two pdfs	en	us	2026-09-03-pdf-keyword-planner	compare pdf pdf	0-10 band	PDF object; ≠ text-diff	compare-two-pdfs	yes	absorb	implemented 2026-09-04; reviewed 2026-09-05; absorb into compare-two-pdfs	mid_covered	implemented
2026-09-03	pdf	extract text from a pdf	en	us	2026-09-03-pdf-keyword-planner	pdf text (extract sense)	extractors	txt out; ≠ edit ≠ word ≠ markdown	extract-text-from-pdf	yes	absorb	implemented 2026-09-04; reviewed 2026-09-05; absorb into extract-text-from-pdf	head	implemented
2026-09-03	pdf	make a pdf flipbook	en	us	2026-09-03-pdf-keyword-planner	pdf flipbook	flipbook SaaS	≠ viewer	make-pdf-flipbook	yes	absorb	implemented 2026-09-04; reviewed 2026-09-05; absorb into make-pdf-flipbook	mid_covered	implemented
2026-09-03	pdf	print a pdf	en	us	2026-09-03-pdf-keyword-planner	pdf printing	thin	print dialog; later queue	print-pdf	yes	absorb	implemented 2026-09-04; reviewed 2026-09-05; absorb into print-pdf	mid_covered	implemented
2026-09-03	pdf	convert pdf to dwg	en	us	2026-09-03-pdf-keyword-planner	any pdf dwg converter	CAD converters	browser WASM uncertain		risk	defer	ASCII DXF text export exists; proprietary DWG conversion and vector tracing remain unimplemented; do not absorb	mid_covered	capability_boundary
2026-09-03	pdf	online pdf editor	en	us	2026-09-03-pdf-keyword-planner	free pdf editor; editor pdf	editor doorway	FAQ split to N5/N6/N8/N9/N11; no shell URL		no	drop	forbid online-pdf-editor slug	head	doorway shell
2026-09-03	pdf	free pdf converter	en	us	2026-09-03-pdf-keyword-planner	converter pdf; any file pdf converter	converter doorway	FAQ split by direction A5/A6/N2/N3/N4		no	drop	forbid universal converter slug	head	doorway shell
2026-09-03	pdf	pdf maker	en	us	2026-09-03-pdf-keyword-planner	pdf creator; pdf generator; make pdf	maker doorway	FAQ split N14/N2/A6		no	drop	forbid maker shell	head	doorway shell
2026-09-03	pdf	adobe acrobat free	en	us	2026-09-03-pdf-keyword-planner	Adobe Acrobat Free	brand nav	not a replacement		no	drop	brand	head	brand
2026-09-03	pdf	best pdf editor	en	us	2026-09-03-pdf-keyword-planner	Free Pdf Editor	review list	not a job		no	drop	review	head	review intent
2026-09-03	pdf	what does pdf stand for	en	us	2026-09-03-pdf-keyword-planner	Planner Pdf	wiki	FAQ one line		no	drop	encyclopedia	head	encyclopedia
2026-09-04	excel	write a nested IF formula for Excel	en	us	2026-09-04-excel-keyword-planner	nested if excel; how to use if statement in excel; if contains excel	no SERP yet	condition rows + trial calc; ≠ IFS N2		yes	defer	N1 slug=write-nested-if-formula-for-excel	head	implement_owed|N1
2026-09-04	excel	write an IFS formula in Excel	en	us	2026-09-04-excel-keyword-planner	ifs excel; ifs function excel	no SERP yet	IFS() vs nested IF; Excel 2019/Microsoft 365+ boundary		yes	defer	N2 slug=write-ifs-formula-in-excel; forbid IFS Excel H1	head	implement_owed|N2
2026-09-04	excel	wrap a formula with IFNA	en	us	2026-09-04-excel-keyword-planner	ifna excel; excel if na	no SERP yet	wrap existing formula; ≠ branching IF		yes	defer	N3 slug=wrap-formula-with-ifna	mid_covered	implement_owed|N3
2026-09-04	excel	write a COUNTIF formula in Excel	en	us	2026-09-04-excel-keyword-planner	excel countif like	10-100 band	range+criteria; later queue		yes	defer	N4 slug=write-countif-formula-in-excel; later queue	mid_covered	implement_owed|N4
2026-09-04	excel	copy common Excel formulas	en	us	2026-09-04-excel-keyword-planner	excel formulas cheat sheet; formulas for excel	no SERP yet	filter+copy+builder links; ≠ generator N1		yes	defer	N5 slug=excel-formulas-cheat-sheet; cheat sheet FAQ only	head	implement_owed|N5
2026-09-04	excel	create an invoice spreadsheet	en	us	2026-09-04-excel-keyword-planner	invoice template excel	no SERP yet	form→xlsx; light finance disclaimer		yes	defer	N6 slug=create-invoice-spreadsheet; forbid template H1	head	implement_owed|N6
2026-09-04	excel	create a budget spreadsheet	en	us	2026-09-04-excel-keyword-planner	free budget spreadsheet excel; accounting spreadsheet	thin	form→xlsx; ≠ invoice N6		yes	defer	N7 slug=create-budget-spreadsheet	mid_covered	implement_owed|N7
2026-09-04	excel	create an Excel timesheet	en	us	2026-09-04-excel-keyword-planner	excel time tracking	no SERP yet	hours grid→xlsx; ≠ budget		yes	defer	N8 slug=create-excel-timesheet	mid_covered	implement_owed|N8
2026-09-04	excel	create a graph from spreadsheet data	en	us	2026-09-04-excel-keyword-planner	create graph excel; excel graphs; excel timeline chart	no SERP yet	paste/csv→chart; ≠ pivot N11 ≠ dashboard N10		no	drop	N9 slug=create-graph-from-spreadsheet-data; 2026-09-04 user removed from catalog	head	user_removed
2026-09-04	excel	create an Excel dashboard	en	us	2026-09-04-excel-keyword-planner	create dashboard excel; dashboards excel	multi-chart SaaS	layout-heavy; later queue		no	drop	N10 slug=create-excel-dashboard; 2026-09-04 user removed from catalog	mid_covered	user_removed
2026-09-04	excel	build a pivot table from a spreadsheet	en	us	2026-09-04-excel-keyword-planner	pivot table excel; excel pivot	no SERP yet	rows/cols/values preview; forbid Pivot table Excel H1		no	drop	N11 slug=build-pivot-table-from-spreadsheet; 2026-09-04 user removed from catalog	head	user_removed
2026-09-04	excel	open an Excel file in the browser	en	us	2026-09-04-excel-keyword-planner	xls online; excel xls	viewer tabs	preview only; editor suite = drop		no	drop	N12 slug=open-excel-file-in-browser; 2026-09-04 user removed from catalog	head	user_removed
2026-09-04	excel	online excel	en	us	2026-09-04-excel-keyword-planner	ms excel online; web excel; free online excel	Excel Online / Sheets	FAQ split N12/N1/N9; no suite URL		no	drop	forbid online-excel slug	head	doorway shell
2026-09-04	excel	ms excel	en	us	2026-09-04-excel-keyword-planner	microsoft excel; excel 365; msexcel	brand nav	not a replacement		no	drop	brand	head	brand
2026-09-04	excel	download excel	en	us	2026-09-04-excel-keyword-planner	install excel; microsoft excel free download; free excel	install intent	not a browser job		no	drop	download	head	download
2026-09-04	excel	excel tutorial beginners	en	us	2026-09-04-excel-keyword-planner	excel training courses; excel tips and tricks guide	course/tutorial	not a tool		no	drop	learn intent	head	tutorial
2026-09-04	excel	excel 2016	en	us	2026-09-04-excel-keyword-planner	excel 2010; excel 2013; excel 2007	version nav	not a job		no	drop	version	head	version
2026-09-04	excel	spreadsheet software	en	us	2026-09-04-excel-keyword-planner	spreadsheets; excel spreadsheet software	category software	forbid spreadsheet-software slug		no	drop	category shell	head	doorway shell
2026-09-04	excel	excel template	en	us	2026-09-04-excel-keyword-planner	templates for excel spreadsheets	template library	FAQ split N6/N7/N8; no template-pack URL		no	drop	forbid template shell	head	doorway shell
2026-09-04	excel	online excel sheet editor	en	us	2026-09-04-excel-keyword-planner	spreadsheet editor; excel sheet editor	full editor suite	not cloning Excel Online; viewer → N12		no	drop	forbid editor shell	head	doorway shell
